pncp_id,objeto_compra,objeto_limpo,relevante_pred
29138310000159-1-000187/2025,"Aquisição de equipamentos e materiais permanentes para a Atenção Especializada em Saúde, através de recurso financeiro proveniente da Proposta de Aquisição de Equipamentos/Material Permanente nº da Proposta: 12349.225000/1240 09. ",aquisição equipamentos materiais permanentes atenção especializada saúde através recurso financeiro proveniente proposta aquisição equipamentos material permanente proposta,1
29138310000159-1-000188/2025,"Aquisição de Materiais Diversos, de acordo com as especificações mínimas indicadas neste TR, para atender à Sede da Secretaria Municipal de Assistência Social e Direitos Humanos e seus Equipamentos Sociais. Os referidos aparelhos serão através de EMENDA PARLAMENTAR, conforme Espelho de Programação nº 330260120220004.",aquisição materiais diversos acordo especificações mínimas indicadas neste atender sede secretaria municipal assistência social direitos humanos equipamentos sociais referidos aparelhos através emenda parlamentar conforme espelho programação,1
29138310000159-1-000190/2025,"Contratação de empresa especializada em Engenharia para a execução da reforma do Centro de Referência de Ação Social, contemplando o fornecimento integral de mão de obra, materiais, ferramentas e equipamentos necessários. Os serviços a serem executados incluem: demolições e remoções, execução de alvenaria, instalação de revestimentos em paredes, pisos e tetos, fornecimento e instalação de esquadrias, cobertura, pinturas, além das instalações elétricas, hidráulicas e sanitárias. Todos os serviços deverão ser realizados em conformidade com os projetos executivos, especificações técnicas e planilhas orçamentárias anexas.",contratação empresa especializada engenharia execução reforma centro referência ação social contemplando fornecimento integral mão obra materiais ferramentas equipamentos necessários serviços serem executados incluem demolições remoções execução alvenaria instalação revestimentos paredes pisos tetos fornecimento instalação esquadrias cobertura pinturas além instalações elétricas hidráulicas sanitárias todos serviços deverão realizados conformidade projetos executivos especificações técnicas planilhas orçamentárias anexas,1
13891130000103-1-000001/2026,"[LICITANET] - Registro de Preços para futura e eventual aquisição de mobiliários, eletroeletrônicos, eletrodomésticos e equipamentos de segurança para atender ás necessidades das Secretarias de Administração e Saúde deste Município.",licitanet registro preços futura eventual aquisição mobiliários eletroeletrônicos eletrodomésticos equipamentos segurança atender necessidades secretarias administração saúde deste município,1
04892707001263-1-000002/2026,"Manutenção (Conservação/Recuperação) referente ao Plano Anual de Trabalho e Orçamento – P.A.T.O nas Rodovias BR-412/PB e BR-110/PB, segmentos BR-412/PB: km 0,00 - km 128,17 e BR-110/PB: km 165,70 - km 193,80 totalizando 156,27 km de extensão, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos.",manutenção conservação recuperação referente plano anual trabalho orçamento rodovias segmentos totalizando extensão conforme condições quantidades exigências estabelecidas neste instrumento anexos,1
76208487000164-1-000033/2026,"REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAL E DE PRESTAÇÃO DE SERVIÇOS DE TORNO, SOLDA, PRENSA E MÃO DE OBRA DE MANUTENÇÃO PARA REPAROS NOS VEÍCULOS, CAMINHÕES, MAQUINÁRIOS E OUTROS SERVIÇOS PARA AS SECRETARIAS MUNICIPAIS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO, A PEDIDO DAS SECRETARIAS DESTA MUNICIPALIDADE",registro preços contratação empresa fornecimento material prestação serviços torno solda prensa mão obra manutenção reparos veículos caminhões maquinários outros serviços secretarias municipais conforme condições quantidades exigências estabelecidas neste instrumento pedido secretarias desta municipalidade,1
47842836000105-1-000241/2025,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE SISTEMA ESTRUTURADO DE ENSINO PARA ALUNOS E PROFESSORES DO ENSINO INFANTIL (2 A 5 ANOS) – GRUPO 01, BEM COMO LIVROS DIDÁTICOS COMPLEMENTARES VOLTADOS A LÍNGUA INGLESA PARA OS ALUNOS E PROFESSORES DO ENSINO INFANTIL (4 A 5 ANOS) – GRUPO 02, CONTENDO ASSESSORIA PEDAGÓGICA E RECURSOS CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS PRESENTES NESSE INSTRUMENTO, PARA ÀS NECESSIDADES DA PREFEITURA MUNICIPAL DE FERNANDÓPOLIS",contratação empresa especializada fornecimento sistema estruturado ensino alunos professores ensino infantil anos grupo bem livros didáticos complementares voltados língua inglesa alunos professores ensino infantil anos grupo contendo assessoria pedagógica recursos conforme condições quantidades exigências presentes nesse instrumento necessidades prefeitura municipal fernandópolis,1
83102327000100-1-000027/2026,Aquisição de itens que comporão kits de Equipamentos de Proteção Individual (Kit Pescador).,aquisição itens comporão kits equipamentos proteção individual kit pescador,1
45122942000180-1-000020/2026,CONTRATACAO TEMPORARIA DE EQUIPAMENTO DE SOM E ILUMINACAO EM CONSONANCIA COM O RIDER TECNICO EM ANEXO  PARA UTILIZACAO NO DIA 21 03 2026 NO EVENTO EM COMEMORACAO AO CENTENARIO DO MUNICIPIO DE PINDORAMA SP,contratacao temporaria equipamento som iluminacao consonancia rider tecnico anexo utilizacao dia evento comemoracao centenario municipio pindorama,1
11455005000125-1-000009/2026,"CONTRATAÇÃO DE SERVIÇOS E AQUISIÇÃO DE MATERIAIS PARA EXECUÇÃO DO CONVÊNIO MINISTÉRIO DOS ESPORTES (MESP) Nº 223/2024 TRANSFEREGOV 969420/2024 PARA EXECUTAR O PROGRAMA VIDA SAUDÁVEL (PVS) NO MUNICÍPIO DE CANOINHAS/SC, NOS TERMOS DA TABELA ABAIXO, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO.",contratação serviços aquisição materiais execução convênio ministério esportes mesp transferegov executar programa vida saudável pvs município canoinhas termos tabela abaixo conforme condições exigências estabelecidas neste instrumento,1
76613835000189-1-000001/2026,Aquisição de equipamentos hospitalares.,aquisição equipamentos hospitalares,1
18315234000193-1-000027/2026,"[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO E INSTALAÇÃO DE HIDRÔMETROS DN 1/2 (1,5 M³/H), INCLUINDO KIT CAVALETE PARA MEDIÇÃO DE ÁGUA, CAIXA EM CONCRETO PRÉ-MOLDADO PARA ABRIGO DO HIDRÔMETRO E MÃO DE OBRA NECESSÁRIA, DESTINADOS AO ATENDIMENTO DAS DEMANDAS DO MUNICÍPIO DE MARTINHO CAMPOS/MG.",portal compras públicas registro preços futura eventual contratação empresa especializada fornecimento instalação hidrômetros incluindo kit cavalete medição água caixa concreto pré moldado abrigo hidrômetro mão obra necessária destinados atendimento demandas município martinho campos,1
29138310000159-1-000206/2025,"Contratação de Empresa para a Aquisição de ar-condicionado modelo Split, de acordo com as especificações mínimas indicadas neste TR, para atender à Sede da Secretaria Municipal de Assistência Social e Direitos Humanos e seus Equipamentos Sociais. Os referidos aparelhos serão através de EMENDA PARLAMENTAR, conforme Espelho de Programação nº 330260120240002 e 330260120240003.",contratação empresa aquisição condicionado modelo split acordo especificações mínimas indicadas neste atender sede secretaria municipal assistência social direitos humanos equipamentos sociais referidos aparelhos através emenda parlamentar conforme espelho programação,1
29138310000159-1-000207/2025,"a Aquisição de equipamentos e materiais permanentes para a Atenção Especializada em Saúde, através de recurso financeiro proveniente da Proposta de Aquisição de Equipamentos/Material Permanente nº da Proposta: 12349.225000/1240 09.	",aquisição equipamentos materiais permanentes atenção especializada saúde através recurso financeiro proveniente proposta aquisição equipamentos material permanente proposta,1
29138310000159-1-000208/2025,"Aquisição de Materiais Diversos, de acordo com as especificações mínimas indicadas neste TR, para atender à Sede da Secretaria Municipal de Assistência Social e Direitos Humanos e seus Equipamentos Sociais. Os referidos aparelhos serão através de EMENDA PARLAMENTAR, conforme Espelho de Programação nº 330260120220004.",aquisição materiais diversos acordo especificações mínimas indicadas neste atender sede secretaria municipal assistência social direitos humanos equipamentos sociais referidos aparelhos através emenda parlamentar conforme espelho programação,1
29138310000159-1-000209/2025,"Contratação de empresa especializada em Engenharia para a execução da reforma do Centro de Referência de Ação Social, contemplando o fornecimento integral de mão de obra, materiais, ferramentas e equipamentos necessários. Os serviços a serem executados incluem: demolições e remoções, execução de alvenaria, instalação de revestimentos em paredes, pisos e tetos, fornecimento e instalação de esquadrias, cobertura, pinturas, além das instalações elétricas, hidráulicas e sanitárias. Todos os serviços deverão ser realizados em conformidade com os projetos executivos, especificações técnicas e planilhas orçamentárias anexas.",contratação empresa especializada engenharia execução reforma centro referência ação social contemplando fornecimento integral mão obra materiais ferramentas equipamentos necessários serviços serem executados incluem demolições remoções execução alvenaria instalação revestimentos paredes pisos tetos fornecimento instalação esquadrias cobertura pinturas além instalações elétricas hidráulicas sanitárias todos serviços deverão realizados conformidade projetos executivos especificações técnicas planilhas orçamentárias anexas,1
29138310000159-1-000015/2026,"Aquisição de equipamentos e materiais permanentes para a Atenção Especializada em Saúde, através de recurso financeiro proveniente  da Emenda Parlamentar Estadual de nº 2817 ",aquisição equipamentos materiais permanentes atenção especializada saúde através recurso financeiro proveniente emenda parlamentar estadual,1
29138310000159-1-000016/2026,"Aquisição de equipamentos e materiais permanentes para a Atenção Especializada em Saúde, através de recurso financeiro proveniente  da Emenda Parlamentar Estadual de nº 2817 ",aquisição equipamentos materiais permanentes atenção especializada saúde através recurso financeiro proveniente emenda parlamentar estadual,1
08924037000118-1-000011/2026,"[Portal de Compras Públicas] - AQUISIÇÃO DE EQUIPAMENTOS AUDIOVISUAL, CLIMATIZAÇÃO E DE PROCESSAMENTO DE DADOS PARA A ATENDER O PROGRAMA ESCOLA INTEGRAL DO MUNICÍPIO DE BONITO DE SANTA FÉ - PB.",portal compras públicas aquisição equipamentos audiovisual climatização processamento dados atender programa escola integral município bonito santa,1
29138310000159-1-000210/2025,"Contratação de Empresa para a Aquisição de ar-condicionado modelo Split, de acordo com as especificações mínimas indicadas neste TR, para atender à Sede da Secretaria Municipal de Assistência Social e Direitos Humanos e seus Equipamentos Sociais. Os referidos aparelhos serão através de EMENDA PARLAMENTAR, conforme Espelho de Programação nº 330260120240002 e 330260120240003.",contratação empresa aquisição condicionado modelo split acordo especificações mínimas indicadas neste atender sede secretaria municipal assistência social direitos humanos equipamentos sociais referidos aparelhos através emenda parlamentar conforme espelho programação,1
45126851000113-1-000028/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO, MONTAGEM, MANUTENÇÃO E DESMONTAGEM DE ESTRUTURAS E EQUIPAMENTOS PARA O EVENTO DENOMINADO ITAJOBI RODEIO SHOW, NO CENTRO DE EVENTOS JERÔNIMO ANTÔNIO POSSATI, NOS DIAS 09/10/11 DE ABRIL DE 2026",contratação empresa especializada fornecimento montagem manutenção desmontagem estruturas equipamentos evento denominado itajobi rodeio show centro eventos jerônimo antônio possati dias abril,1
